Index, Number Set(), Number, User Input, T/F, Time(ms)
0 (6 4 2 ),4,True,True,3343
1 (8 3 6 ),3,False,False,1595
2 (6 5 1 ),6,True,True,522
3 (4 3 6 ),4,False,False,367
4 (4 2 5 ),6,True,False,217
5 (1 3 2 ),1,False,False,293
6 (7 3 5 ),6,True,False,190
7 (3 1 6 ),7,False,True,305
8 (3 5 8 ),7,True,False,232
9 (7 8 2 ),5,False,True,41
10 (2 1 4 ),2,True,True,28
11 (5 7 3 ),7,True,True,56
12 (5 7 3 ),1,True,False,106
13 (6 1 3 ),1,False,False,71
14 (7 1 3 ),8,True,False,25
15 (8 3 6 ),3,False,False,617
16 (4 3 5 ),6,True,False,136
17 (4 7 5 ),1,False,True,473
18 (6 7 5 ),6,True,True,222
19 (5 8 7 ),4,False,True,74
