Index, Number Set(), Number, User Input, T/F, Time(ms)
0 (8 5 1 2 7 6 ),8,True,True,2336
1 (3 4 5 1 7 2 ),8,True,False,321
2 (7 6 8 2 4 3 ),5,True,False,291
3 (2 1 7 4 6 3 ),6,True,True,278
4 (4 8 2 1 6 5 ),8,True,True,180
5 (1 2 7 4 6 8 ),4,True,True,46
6 (7 2 5 3 8 4 ),2,True,True,66
7 (6 5 2 1 3 4 ),8,True,False,99
8 (2 6 5 7 1 3 ),6,True,True,71
9 (8 7 4 1 6 3 ),5,True,False,62
10 (2 3 4 1 7 6 ),8,True,False,107
11 (7 1 8 4 3 2 ),8,True,True,83
12 (1 4 6 7 5 2 ),7,True,True,87
13 (6 5 4 1 8 3 ),2,True,False,377
14 (4 2 5 7 1 6 ),3,True,False,413
15 (7 8 6 3 1 4 ),2,True,False,245
16 (3 5 6 4 1 7 ),5,True,True,149
17 (5 7 6 2 8 3 ),4,True,False,184
18 (2 1 8 6 3 5 ),4,True,False,96
19 (5 4 7 3 8 2 ),4,True,True,220
