Index, Number Set(), Number, User Input, T/F, Time(ms)
0 (1 7 3 2 8 ) , 1,True,True,818
1 (5 6 1 2 3 ) , 2,True,True,299
2 (7 8 2 6 5 ) , 4,True,False,297
3 (8 7 3 1 4 ) , 7,True,True,185
4 (6 1 2 7 8 ) , 5,True,False,163
5 (2 5 8 6 3 ) , 4,True,False,211
6 (1 4 2 6 7 ) , 3,True,False,131
7 (7 2 6 1 8 ) , 4,True,False,97
8 (1 6 2 4 7 ) , 1,True,True,246
9 (8 3 4 2 7 ) , 3,True,True,262
10 (1 4 7 5 6 ) , 1,True,True,235
11 (7 5 4 8 2 ) , 1,False,True,163
12 (5 8 6 3 1 ) , 7,True,False,261
13 (8 7 5 6 3 ) , 7,False,False,244
14 (8 1 3 7 6 ) , 4,True,False,288
15 (8 7 6 5 3 ) , 1,False,True,221
16 (4 2 1 8 5 ) , 8,True,True,281
17 (5 8 2 1 6 ) , 8,True,True,216
18 (5 1 2 3 4 ) , 1,True,True,227
19 (1 6 8 5 2 ) , 3,False,True,286
